No,ポケモン名_日本語,ポケモン名_英語,タイプ1_日本語,タイプ1_英語,タイプ2_日本語,タイプ2_英語,種族値_H,種族値_A,種族値_B,種族値_C,種族値_D,種族値_S,実数値_H,実数値_A,実数値_B,実数値_C,実数値_D,実数値_S
0154,メガニウム,Meganium,くさ,Grass,,,80,82,100,83,100,80,155,102,120,103,120,100
0154,メガメガニウム,メガメガニウム,くさ,Grass,フェアリー,Fairy,80,92,115,143,115,80,155,112,135,163,135,100
0157,バクフーン（RFあり）,バクフーン（RFあり）,ほのお,Fire,,,78,84,78,109,85,100,153,104,98,129,105,120
0160,オーダイル,Feraligatr,みず,Water,,,85,105,100,79,83,78,160,125,120,99,103,98
0160,メガオーダイル,メガオーダイル,みず,Water,ドラゴン,Dragon,85,160,125,89,93,78,160,180,145,109,113,98
0168,アリアドス,Ariados,むし,Bug,どく,Poison,70,90,70,60,70,40,145,110,90,80,90,60
0181,デンリュウ,Ampharos,でんき,Electric,,,90,75,85,115,90,55,165,95,105,135,110,75
0181,メガデンリュウ,メガデンリュウ,でんき,Electric,ドラゴン,Dragon,90,95,105,165,110,45,165,115,125,185,130,65
0184,マリルリ,Azumarill,みず,Water,フェアリー,Fairy,100,50,80,60,80,50,175,70,100,80,100,70
0186,ニョロトノ,Politoed,みず,Water,,,90,75,75,90,100,70,165,95,95,110,120,90
0196,エーフィ,Espeon,エスパー,Psychic,,,65,65,60,130,95,110,140,85,80,150,115,130
0197,ブラッキー,Umbreon,あく,Dark,,,95,65,110,60,130,65,170,85,130,80,150,85
0199,ヤドキング（RFあり）,ヤドキング（RFあり）,みず,Water,エスパー,Psychic,95,75,80,100,110,30,170,95,100,120,130,50
0205,フォレトス,Forretress,むし,Bug,はがね,,75,90,140,60,60,40,150,110,160,80,80,60
0208,ハガネール,Steelix,はがね,,じめん,Ground,75,85,200,55,65,30,150,105,220,75,85,50
0208,メガハガネール,メガハガネール,はがね,,じめん,Ground,75,125,230,55,95,30,150,145,250,75,115,50
0212,ハッサム,Scizor,むし,Bug,はがね,,70,130,100,55,80,65,145,150,120,75,100,85
0212,メガハッサム,メガハッサム,むし,Bug,はがね,,70,150,140,65,100,75,145,170,160,85,120,95
0214,ヘラクロス,Heracross,むし,Bug,かくとう,Fighting,80,125,75,40,95,85,155,145,95,60,115,105
0214,メガヘラクロス,メガヘラクロス,むし,Bug,かくとう,Fighting,80,185,115,40,105,75,155,205,135,60,125,95
0227,エアームド,Skarmory,はがね,,ひこう,Flying,65,80,140,40,70,70,140,100,160,60,90,90
0227,メガエアームド,メガエアームド,はがね,,ひこう,Flying,65,140,110,40,100,110,140,160,130,60,120,130
0229,ヘルガー,Houndoom,あく,Dark,ほのお,Fire,75,90,50,110,80,95,150,110,70,130,100,115
0229,メガヘルガー,メガヘルガー,あく,Dark,ほのお,Fire,75,90,90,140,90,115,150,110,110,160,110,135
0248,バンギラス,Tyranitar,いわ,Rock,あく,Dark,100,134,110,95,100,61,175,154,130,115,120,81
