No,ポケモン名_日本語,ポケモン名_英語,タイプ1_日本語,タイプ1_英語,タイプ2_日本語,タイプ2_英語,種族値_H,種族値_A,種族値_B,種族値_C,種族値_D,種族値_S,実数値_H,実数値_A,実数値_B,実数値_C,実数値_D,実数値_S
0389,ドダイトス,Torterra,くさ,Grass,じめん,Ground,95,109,105,75,85,56,170,129,125,95,105,76
0392,ゴウカザル,Infernape,ほのお,Fire,かくとう,Fighting,76,104,71,104,71,108,151,124,91,124,91,128
0395,エンペルト,Empoleon,みず,Water,はがね,,84,86,88,111,101,60,159,106,108,131,121,80
0405,レントラー,Luxray,でんき,Electric,,,80,120,79,95,79,70,155,140,99,115,99,90
0407,ロズレイド,Roserade,くさ,Grass,どく,Poison,60,70,65,125,105,90,135,90,85,145,125,110
0409,ラムパルド,Rampardos,いわ,Rock,,,97,165,60,65,50,58,172,185,80,85,70,78
0411,トリデプス,Bastiodon,いわ,Rock,はがね,,60,52,168,47,138,30,135,72,188,67,158,50
0428,ミミロップ,Lopunny,ノーマル,Normal,,,65,76,84,54,96,105,140,96,104,74,116,125
0428,メガミミロップ,メガミミロップ,ノーマル,Normal,かくとう,Fighting,65,136,94,54,96,135,140,156,114,74,116,155
0442,ミカルゲ,Spiritomb,ゴースト,Ghost,あく,Dark,50,92,108,92,108,35,125,112,128,112,128,55
0445,ガブリアス,Garchomp,ドラゴン,Dragon,じめん,Ground,108,130,95,80,85,102,183,150,115,100,105,122
0445,メガガブリアス,メガガブリアス,ドラゴン,Dragon,じめん,Ground,108,170,115,120,95,92,183,190,135,140,115,112
0448,ルカリオ,Lucario,かくとう,Fighting,はがね,,70,110,70,115,70,90,145,130,90,135,90,110
0448,メガルカリオ,メガルカリオ,かくとう,Fighting,はがね,,70,145,88,140,70,112,145,165,108,160,90,132
0450,カバルドン,Hippowdon,じめん,Ground,,,108,112,118,68,72,47,183,132,138,88,92,67
0454,ドクロッグ,Toxicroak,どく,Poison,かくとう,Fighting,83,106,65,86,65,85,158,126,85,106,85,105
0460,ユキノオー,Abomasnow,くさ,Grass,こおり,Ice,90,92,75,92,85,60,165,112,95,112,105,80
0460,メガユキノオー,メガユキノオー,くさ,Grass,こおり,Ice,90,132,105,132,105,30,165,152,125,152,125,50
0461,マニューラ,Weavile,あく,Dark,こおり,Ice,70,120,65,45,85,125,145,140,85,65,105,145
0464,ドサイドン,Rhyperior,じめん,Ground,いわ,Rock,115,140,130,55,55,40,190,160,150,75,75,60
0470,リーフィア,Leafeon,くさ,Grass,,,65,110,130,60,65,95,140,130,150,80,85,115
0471,グレイシア,Glaceon,こおり,Ice,,,65,60,110,130,95,65,140,80,130,150,115,85
0472,グライオン,Gliscor,じめん,Ground,ひこう,Flying,75,95,125,45,75,95,150,115,145,65,95,115
0473,マンムー,Mamoswine,こおり,Ice,じめん,Ground,110,130,80,70,60,80,185,150,100,90,80,100
0475,エルレイド,Gallade,エスパー,Psychic,かくとう,Fighting,68,125,65,65,115,80,143,145,85,85,135,100
0475,メガエルレイド,メガエルレイド,エスパー,Psychic,かくとう,Fighting,68,165,95,65,115,110,143,185,115,85,135,130
0478,ユキメノコ,Froslass,こおり,Ice,ゴースト,Ghost,70,80,70,80,70,110,145,100,90,100,90,130
0478,メガユキメノコ,メガユキメノコ,こおり,Ice,ゴースト,Ghost,70,80,70,140,100,120,145,100,90,160,120,140
0479,ロトム,Rotom,でんき,Electric,ゴースト,Ghost,50,50,77,95,77,91,125,70,97,115,97,111
0479,ヒートロトム,ヒートロトム,でんき,Electric,ほのお,Fire,50,65,107,105,107,86,125,85,127,125,127,106
0479,ウォッシュロトム,ウォッシュロトム,でんき,Electric,みず,Water,50,65,107,105,107,86,125,85,127,125,127,106
0479,フロストロトム,フロストロトム,でんき,Electric,こおり,Ice,50,65,107,105,107,86,125,85,127,125,127,106
0479,スピンロトム,スピンロトム,でんき,Electric,ひこう,Flying,50,65,107,105,107,86,125,85,127,125,127,106
0479,カットロトム,カットロトム,でんき,Electric,くさ,Grass,50,65,107,105,107,86,125,85,127,125,127,106
0389,ドダイトス,Torterra,くさ,Grass,じめん,Ground,95,109,105,75,85,56,170,129,125,95,105,76
0392,ゴウカザル,Infernape,ほのお,Fire,かくとう,Fighting,76,104,71,104,71,108,151,124,91,124,91,128
0395,エンペルト,Empoleon,みず,Water,はがね,,84,86,88,111,101,60,159,106,108,131,121,80
0405,レントラー,Luxray,でんき,Electric,,,80,120,79,95,79,70,155,140,99,115,99,90
0407,ロズレイド,Roserade,くさ,Grass,どく,Poison,60,70,65,125,105,90,135,90,85,145,125,110
0409,ラムパルド,Rampardos,いわ,Rock,,,97,165,60,65,50,58,172,185,80,85,70,78
0411,トリデプス,Bastiodon,いわ,Rock,はがね,,60,52,168,47,138,30,135,72,188,67,158,50
0428,ミミロップ,Lopunny,ノーマル,Normal,,,65,76,84,54,96,105,140,96,104,74,116,125
0428,メガミミロップ,メガミミロップ,ノーマル,Normal,かくとう,Fighting,65,136,94,54,96,135,140,156,114,74,116,155
0442,ミカルゲ,Spiritomb,ゴースト,Ghost,あく,Dark,50,92,108,92,108,35,125,112,128,112,128,55
0445,ガブリアス,Garchomp,ドラゴン,Dragon,じめん,Ground,108,130,95,80,85,102,183,150,115,100,105,122
0445,メガガブリアス,メガガブリアス,ドラゴン,Dragon,じめん,Ground,108,170,115,120,95,92,183,190,135,140,115,112
0448,ルカリオ,Lucario,かくとう,Fighting,はがね,,70,110,70,115,70,90,145,130,90,135,90,110
0448,メガルカリオ,メガルカリオ,かくとう,Fighting,はがね,,70,145,88,140,70,112,145,165,108,160,90,132
0450,カバルドン,Hippowdon,じめん,Ground,,,108,112,118,68,72,47,183,132,138,88,92,67
0454,ドクロッグ,Toxicroak,どく,Poison,かくとう,Fighting,83,106,65,86,65,85,158,126,85,106,85,105
0460,ユキノオー,Abomasnow,くさ,Grass,こおり,Ice,90,92,75,92,85,60,165,112,95,112,105,80
0460,メガユキノオー,メガユキノオー,くさ,Grass,こおり,Ice,90,132,105,132,105,30,165,152,125,152,125,50
0461,マニューラ,Weavile,あく,Dark,こおり,Ice,70,120,65,45,85,125,145,140,85,65,105,145
0464,ドサイドン,Rhyperior,じめん,Ground,いわ,Rock,115,140,130,55,55,40,190,160,150,75,75,60
0470,リーフィア,Leafeon,くさ,Grass,,,65,110,130,60,65,95,140,130,150,80,85,115
0471,グレイシア,Glaceon,こおり,Ice,,,65,60,110,130,95,65,140,80,130,150,115,85
0472,グライオン,Gliscor,じめん,Ground,ひこう,Flying,75,95,125,45,75,95,150,115,145,65,95,115
0473,マンムー,Mamoswine,こおり,Ice,じめん,Ground,110,130,80,70,60,80,185,150,100,90,80,100
0475,エルレイド,Gallade,エスパー,Psychic,かくとう,Fighting,68,125,65,65,115,80,143,145,85,85,135,100
0475,メガエルレイド,メガエルレイド,エスパー,Psychic,かくとう,Fighting,68,165,95,65,115,110,143,185,115,85,135,130
0478,ユキメノコ,Froslass,こおり,Ice,ゴースト,Ghost,70,80,70,80,70,110,145,100,90,100,90,130
0478,メガユキメノコ,メガユキメノコ,こおり,Ice,ゴースト,Ghost,70,80,70,140,100,120,145,100,90,160,120,140
0479,ロトム,Rotom,でんき,Electric,ゴースト,Ghost,50,50,77,95,77,91,125,70,97,115,97,111
0479,ヒートロトム,ヒートロトム,でんき,Electric,ほのお,Fire,50,65,107,105,107,86,125,85,127,125,127,106
0479,ウォッシュロトム,ウォッシュロトム,でんき,Electric,みず,Water,50,65,107,105,107,86,125,85,127,125,127,106
0479,フロストロトム,フロストロトム,でんき,Electric,こおり,Ice,50,65,107,105,107,86,125,85,127,125,127,106
0479,スピンロトム,スピンロトム,でんき,Electric,ひこう,Flying,50,65,107,105,107,86,125,85,127,125,127,106
0479,カットロトム,カットロトム,でんき,Electric,くさ,Grass,50,65,107,105,107,86,125,85,127,125,127,106
