No,ポケモン名_日本語,ポケモン名_英語,タイプ1_日本語,タイプ1_英語,タイプ2_日本語,タイプ2_英語,種族値_H,種族値_A,種族値_B,種族値_C,種族値_D,種族値_S,実数値_H,実数値_A,実数値_B,実数値_C,実数値_D,実数値_S
0497,ジャローダ,Serperior,くさ,Grass,,,75,75,95,75,95,113,150,95,115,95,115,133
0500,エンブオー,Emboar,ほのお,Fire,かくとう,Fighting,110,123,65,100,65,65,185,143,85,120,85,85
0500,メガエンブオー,メガエンブオー,ほのお,Fire,かくとう,Fighting,110,148,75,110,110,75,185,168,95,130,130,95
0503,ダイケンキ（RFあり）,ダイケンキ（RFあり）,みず,Water,,,95,100,85,108,70,70,170,120,105,128,90,90
0505,ミルホッグ,Watchog,ノーマル,Normal,,,60,85,69,60,69,77,135,105,89,80,89,97
0510,レパルダス,Liepard,あく,Dark,,,64,88,50,88,50,106,139,108,70,108,70,126
0512,ヤナッキー,Simisage,くさ,Grass,,,75,98,63,98,63,101,150,118,83,118,83,121
0514,バオッキー,Simisear,ほのお,Fire,,,75,98,63,98,63,101,150,118,83,118,83,121
0516,ヒヤッキー,Simipour,みず,Water,,,75,98,63,98,63,101,150,118,83,118,83,121
0530,ドリュウズ,Excadrill,じめん,Ground,はがね,,110,135,60,50,65,88,185,155,80,70,85,108
0530,メガドリュウズ,メガドリュウズ,じめん,Ground,はがね,,110,165,100,65,65,103,185,185,120,85,85,123
0531,タブンネ,Audino,ノーマル,Normal,,,103,60,86,60,86,50,178,80,106,80,106,70
0531,メガタブンネ,メガタブンネ,ノーマル,Normal,フェアリー,Fairy,103,60,126,80,126,50,178,80,146,100,146,70
0534,ローブシン,Conkeldurr,かくとう,Fighting,,,105,140,95,55,65,45,180,160,115,75,85,65
0547,エルフーン,Whimsicott,くさ,Grass,フェアリー,Fairy,60,67,85,77,75,116,135,87,105,97,95,136
0553,ワルビアル,Krookodile,じめん,Ground,あく,Dark,95,117,80,65,70,92,170,137,100,85,90,112
0563,デスカーン,Cofagrigus,ゴースト,Ghost,,,58,50,145,95,105,30,133,70,165,115,125,50
