No,ポケモン名_日本語,ポケモン名_英語,タイプ1_日本語,タイプ1_英語,タイプ2_日本語,タイプ2_英語,種族値_H,種族値_A,種族値_B,種族値_C,種族値_D,種族値_S,実数値_H,実数値_A,実数値_B,実数値_C,実数値_D,実数値_S
0128,Pケンタロス(単),Pケンタロス(単),かくとう,Fighting,,,75,110,105,30,70,100,150,130,125,50,90,120
0128,Pケンタロス(炎),Pケンタロス(炎),かくとう,Fighting,ほのお,Fire,75,110,105,30,70,100,150,130,125,50,90,120
0128,Pケンタロス(水),Pケンタロス(水),かくとう,Fighting,みず,Water,75,110,105,30,70,100,150,130,125,50,90,120
0908,マスカーニャ,Meowscarada,くさ,Grass,あく,Dark,76,110,70,81,70,123,151,130,90,101,90,143
0911,ラウドボーン,Skeledirge,ほのお,Fire,ゴースト,Ghost,104,75,100,110,75,66,179,95,120,130,95,86
0914,ウェーニバル,Quaquaval,みず,Water,かくとう,Fighting,85,120,80,85,75,85,160,140,100,105,95,105
0925,イッカネズミ,Maushold,ノーマル,Normal,,,74,75,70,65,75,111,149,95,90,85,95,131
0934,キョジオーン,Garganacl,いわ,Rock,,,100,100,130,45,90,35,175,120,150,65,110,55
0936,グレンアルマ,Armarouge,ほのお,Fire,エスパー,Psychic,85,60,100,125,80,75,160,80,120,145,100,95
0937,ソウブレイズ,Ceruledge,ほのお,Fire,ゴースト,Ghost,75,125,80,60,100,85,150,145,100,80,120,105
0939,ハラバリー,Bellibolt,でんき,Electric,,,109,64,91,103,83,45,184,84,111,123,103,65
0952,スコヴィラン,Scovillain,くさ,Grass,ほのお,Fire,65,108,65,108,65,75,140,128,85,128,85,95
0952,メガスコヴィラン,メガスコヴィラン,くさ,Grass,ほのお,Fire,65,138,85,138,85,75,140,158,105,158,105,95
0956,クエスパトラ,Espathra,エスパー,Psychic,,,95,60,60,101,60,105,170,80,80,121,80,125
0959,デカヌチャン,Tinkaton,フェアリー,Fairy,はがね,,85,75,77,70,105,94,160,95,97,90,125,114
0964,イルカマン(ナイーブ),イルカマン(ナイーブ),みず,Water,,,100,70,72,53,62,100,175,90,92,73,82,120
0964,イルカマン(マイティ),イルカマン(マイティ),みず,Water,,,100,160,97,106,87,100,175,180,117,126,107,120
0968,ミミズズ,Orthworm,はがね,,,,70,85,145,60,55,65,145,105,165,80,75,85
0970,キラフロル,Glimmora,いわ,Rock,どく,Poison,83,55,90,130,81,86,158,75,110,150,101,106
0970,メガキラフロル,メガキラフロル,いわ,Rock,どく,Poison,83,90,105,150,96,101,158,110,125,170,116,121
0981,リキキリン,Farigiraf,ノーマル,Normal,エスパー,Psychic,120,90,70,110,70,60,195,110,90,130,90,80
0983,ドドゲザン,Kingambit,あく,Dark,はがね,,100,135,120,60,85,50,175,155,140,80,105,70
1013,ヤバソチャ,Sinistcha,くさ,Grass,ゴースト,Ghost,71,60,106,121,80,70,146,80,126,141,100,90
1018,ブリジュラス,Archaludon,はがね,,ドラゴン,Dragon,90,105,130,125,65,85,165,125,150,145,85,105
1019,カミツオロチ,Hydrapple,くさ,Grass,ドラゴン,Dragon,106,80,110,120,80,44,181,100,130,140,100,64
0128,Pケンタロス(単),Pケンタロス(単),かくとう,Fighting,,,75,110,105,30,70,100,150,130,125,50,90,120
0128,Pケンタロス(炎),Pケンタロス(炎),かくとう,Fighting,ほのお,Fire,75,110,105,30,70,100,150,130,125,50,90,120
0128,Pケンタロス(水),Pケンタロス(水),かくとう,Fighting,みず,Water,75,110,105,30,70,100,150,130,125,50,90,120
0908,マスカーニャ,Meowscarada,くさ,Grass,あく,Dark,76,110,70,81,70,123,151,130,90,101,90,143
0911,ラウドボーン,Skeledirge,ほのお,Fire,ゴースト,Ghost,104,75,100,110,75,66,179,95,120,130,95,86
0914,ウェーニバル,Quaquaval,みず,Water,かくとう,Fighting,85,120,80,85,75,85,160,140,100,105,95,105
0925,イッカネズミ,Maushold,ノーマル,Normal,,,74,75,70,65,75,111,149,95,90,85,95,131
0934,キョジオーン,Garganacl,いわ,Rock,,,100,100,130,45,90,35,175,120,150,65,110,55
0936,グレンアルマ,Armarouge,ほのお,Fire,エスパー,Psychic,85,60,100,125,80,75,160,80,120,145,100,95
0937,ソウブレイズ,Ceruledge,ほのお,Fire,ゴースト,Ghost,75,125,80,60,100,85,150,145,100,80,120,105
0939,ハラバリー,Bellibolt,でんき,Electric,,,109,64,91,103,83,45,184,84,111,123,103,65
0952,スコヴィラン,Scovillain,くさ,Grass,ほのお,Fire,65,108,65,108,65,75,140,128,85,128,85,95
0952,メガスコヴィラン,メガスコヴィラン,くさ,Grass,ほのお,Fire,65,138,85,138,85,75,140,158,105,158,105,95
0956,クエスパトラ,Espathra,エスパー,Psychic,,,95,60,60,101,60,105,170,80,80,121,80,125
0959,デカヌチャン,Tinkaton,フェアリー,Fairy,はがね,,85,75,77,70,105,94,160,95,97,90,125,114
0964,イルカマン(ナイーブ),イルカマン(ナイーブ),みず,Water,,,100,70,72,53,62,100,175,90,92,73,82,120
0964,イルカマン(マイティ),イルカマン(マイティ),みず,Water,,,100,160,97,106,87,100,175,180,117,126,107,120
0968,ミミズズ,Orthworm,はがね,,,,70,85,145,60,55,65,145,105,165,80,75,85
0970,キラフロル,Glimmora,いわ,Rock,どく,Poison,83,55,90,130,81,86,158,75,110,150,101,106
0970,メガキラフロル,メガキラフロル,いわ,Rock,どく,Poison,83,90,105,150,96,101,158,110,125,170,116,121
0981,リキキリン,Farigiraf,ノーマル,Normal,エスパー,Psychic,120,90,70,110,70,60,195,110,90,130,90,80
0983,ドドゲザン,Kingambit,あく,Dark,はがね,,100,135,120,60,85,50,175,155,140,80,105,70
