No,ポケモン名_日本語,ポケモン名_英語,タイプ1_日本語,タイプ1_英語,タイプ2_日本語,タイプ2_英語,種族値_H,種族値_A,種族値_B,種族値_C,種族値_D,種族値_S,実数値_H,実数値_A,実数値_B,実数値_C,実数値_D,実数値_S
0279,ペリッパー,Pelipper,みず,Water,ひこう,Flying,60,50,100,95,70,65,135,70,120,115,90,85
0282,サーナイト,Gardevoir,エスパー,Psychic,フェアリー,Fairy,68,65,65,125,115,80,143,85,85,145,135,100
0282,メガサーナイト,メガサーナイト,エスパー,Psychic,フェアリー,Fairy,68,85,65,165,135,100,143,105,85,185,155,120
0302,ヤミラミ,Sableye,あく,Dark,ゴースト,Ghost,50,75,75,65,65,50,125,95,95,85,85,70
0302,メガヤミラミ,メガヤミラミ,あく,Dark,ゴースト,Ghost,50,85,125,85,115,20,125,105,145,105,135,40
0306,ボスゴドラ,Aggron,はがね,,いわ,Rock,70,110,180,60,60,50,145,130,200,80,80,70
0306,メガボスゴドラ,メガボスゴドラ,はがね,,,,70,140,230,60,80,50,145,160,250,80,100,70
0308,チャーレム,Medicham,かくとう,Fighting,エスパー,Psychic,60,60,75,60,75,80,135,80,95,80,95,100
0308,メガチャーレム,メガチャーレム,かくとう,Fighting,エスパー,Psychic,60,100,85,80,85,100,135,120,105,100,105,120
0310,ライボルト,Manectric,でんき,Electric,,,70,75,60,105,60,105,145,95,80,125,80,125
0310,メガライボルト,メガライボルト,でんき,Electric,,,70,75,80,135,80,135,145,95,100,155,100,155
0319,サメハダー,Sharpedo,みず,Water,あく,Dark,70,120,40,95,40,95,145,140,60,115,60,115
0319,メガサメハダー,メガサメハダー,みず,Water,あく,Dark,70,140,70,110,65,105,145,160,90,130,85,125
0323,バクーダ,Camerupt,ほのお,Fire,じめん,Ground,70,100,70,105,75,40,145,120,90,125,95,60
0323,メガバクーダ,メガバクーダ,ほのお,Fire,じめん,Ground,70,120,100,145,105,20,145,140,120,165,125,40
0324,コータス,Torkoal,ほのお,Fire,,,70,85,140,85,70,20,145,105,160,105,90,40
0334,チルタリス,Altaria,ドラゴン,Dragon,ひこう,Flying,75,70,90,70,105,80,150,90,110,90,125,100
0334,メガチルタリス,メガチルタリス,ドラゴン,Dragon,フェアリー,Fairy,75,110,110,110,105,80,150,130,130,130,125,100
0350,ミロカロス,Milotic,みず,Water,,,95,60,79,100,125,81,170,80,99,120,145,101
0351,ポワルン,Castform,ノーマル,Normal,,,70,70,70,70,70,70,145,90,90,90,90,90
0351,ポワルン(太陽),ポワルン(太陽),ほのお,Fire,,,70,70,70,70,70,70,145,90,90,90,90,90
0351,ポワルン(雨水),ポワルン(雨水),みず,Water,,,70,70,70,70,70,70,145,90,90,90,90,90
0351,ポワルン(雪雲),ポワルン(雪雲),こおり,Ice,,,70,70,70,70,70,70,145,90,90,90,90,90
354,ジュペッタ,Banette,ゴースト,Ghost,,,64,115,65,83,63,65,139,135,85,103,83,85
354,メガジュペッタ,メガジュペッタ,ゴースト,Ghost,,,64,165,75,93,83,75,139,185,95,113,103,95
0358,チリーン,Chimecho,エスパー,Psychic,,,75,50,80,95,90,65,150,70,100,115,110,85
0358,メガチリーン,メガチリーン,エスパー,Psychic,はがね,,75,50,110,135,120,65,150,70,130,155,140,85
0359,アブソル,Absol,あく,Dark,,,65,130,60,75,60,75,140,150,80,95,80,95
0359,メガアブソル,メガアブソル,あく,Dark,,,65,150,60,115,60,115,140,170,80,135,80,135
0362,オニゴーリ,Glalie,こおり,Ice,,,80,80,80,80,80,80,155,100,100,100,100,100
0362,メガオニゴーリ,メガオニゴーリ,こおり,Ice,,,80,120,80,120,80,100,155,140,100,140,100,120
0279,ペリッパー,Pelipper,みず,Water,ひこう,Flying,60,50,100,95,70,65,135,70,120,115,90,85
0282,サーナイト,Gardevoir,エスパー,Psychic,フェアリー,Fairy,68,65,65,125,115,80,143,85,85,145,135,100
0282,メガサーナイト,メガサーナイト,エスパー,Psychic,フェアリー,Fairy,68,85,65,165,135,100,143,105,85,185,155,120
0302,ヤミラミ,Sableye,あく,Dark,ゴースト,Ghost,50,75,75,65,65,50,125,95,95,85,85,70
0302,メガヤミラミ,メガヤミラミ,あく,Dark,ゴースト,Ghost,50,85,125,85,115,20,125,105,145,105,135,40
0306,ボスゴドラ,Aggron,はがね,,いわ,Rock,70,110,180,60,60,50,145,130,200,80,80,70
0306,メガボスゴドラ,メガボスゴドラ,はがね,,,,70,140,230,60,80,50,145,160,250,80,100,70
0308,チャーレム,Medicham,かくとう,Fighting,エスパー,Psychic,60,60,75,60,75,80,135,80,95,80,95,100
0308,メガチャーレム,メガチャーレム,かくとう,Fighting,エスパー,Psychic,60,100,85,80,85,100,135,120,105,100,105,120
0310,ライボルト,Manectric,でんき,Electric,,,70,75,60,105,60,105,145,95,80,125,80,125
0310,メガライボルト,メガライボルト,でんき,Electric,,,70,75,80,135,80,135,145,95,100,155,100,155
0319,サメハダー,Sharpedo,みず,Water,あく,Dark,70,120,40,95,40,95,145,140,60,115,60,115
0319,メガサメハダー,メガサメハダー,みず,Water,あく,Dark,70,140,70,110,65,105,145,160,90,130,85,125
0323,バクーダ,Camerupt,ほのお,Fire,じめん,Ground,70,100,70,105,75,40,145,120,90,125,95,60
0323,メガバクーダ,メガバクーダ,ほのお,Fire,じめん,Ground,70,120,100,145,105,20,145,140,120,165,125,40
0324,コータス,Torkoal,ほのお,Fire,,,70,85,140,85,70,20,145,105,160,105,90,40
0334,チルタリス,Altaria,ドラゴン,Dragon,ひこう,Flying,75,70,90,70,105,80,150,90,110,90,125,100
0334,メガチルタリス,メガチルタリス,ドラゴン,Dragon,フェアリー,Fairy,75,110,110,110,105,80,150,130,130,130,125,100
0350,ミロカロス,Milotic,みず,Water,,,95,60,79,100,125,81,170,80,99,120,145,101
0351,ポワルン,Castform,ノーマル,Normal,,,70,70,70,70,70,70,145,90,90,90,90,90
0351,ポワルン(太陽),ポワルン(太陽),ほのお,Fire,,,70,70,70,70,70,70,145,90,90,90,90,90
0351,ポワルン(雨水),ポワルン(雨水),みず,Water,,,70,70,70,70,70,70,145,90,90,90,90,90
0351,ポワルン(雪雲),ポワルン(雪雲),こおり,Ice,,,70,70,70,70,70,70,145,90,90,90,90,90
354,ジュペッタ,Banette,ゴースト,Ghost,,,64,115,65,83,63,65,139,135,85,103,83,85
354,メガジュペッタ,メガジュペッタ,ゴースト,Ghost,,,64,165,75,93,83,75,139,185,95,113,103,95
0358,チリーン,Chimecho,エスパー,Psychic,,,75,50,80,95,90,65,150,70,100,115,110,85
0358,メガチリーン,メガチリーン,エスパー,Psychic,はがね,,75,50,110,135,120,65,150,70,130,155,140,85
0359,アブソル,Absol,あく,Dark,,,65,130,60,75,60,75,140,150,80,95,80,95
0359,メガアブソル,メガアブソル,あく,Dark,,,65,150,60,115,60,115,140,170,80,135,80,135
0362,オニゴーリ,Glalie,こおり,Ice,,,80,80,80,80,80,80,155,100,100,100,100,100
0362,メガオニゴーリ,メガオニゴーリ,こおり,Ice,,,80,120,80,120,80,100,155,140,100,140,100,120
